primary_product,price,unit,weight,cross_sell_discount,promo_details,slogan,associated_cross_sell,dynamic_ad_prompt,pre_defined_ad_image
banana,0.59,/Kg,1,30%,"Buy 1Kg Bananas, Get 30% off Peanut Butter",Spread the Goodness,peanut butter,"Creamy peanut butter being spread on slice of bread with knife, smooth rich texture, golden lighting, close-up macro shot, mouth-watering appeal, professional food photography, commercial style",
banana,0.59,/Kg,1,30%,"Buy 1Kg Bananas, Get 50% off Bread Loaves","Two Essentials, One Great Taste",bread,"Fresh bananas next to loaf of bread and baking ingredients, 'make banana bread at home' display, grocery store bakery section, warm golden lighting, recipe card visible, commercial retail photography",
banana,0.59,/Kg,1,20%,"Buy 1Kg Bananas, Get 10% off Oatmeal","Start Strong, Stay Strong",oatmeal,"Steaming bowl of oatmeal with fresh banana, berries and fruits, wooden table setting, warm morning light, 'healthy start to your day' vibe, appetizing food photography, commercial advertising style",
apple,0.89,/Kg,1,50%,"Buy 1Kg Apples, Get 50% off Cheddar or Brie","Timeless Taste, Effortless Entertaining",cheese,"Cheese and apple platter with crackers, entertaining setup, warm ambient lighting, 'impress your guests' theme, sophisticated food styling, hospitality marketing photography",
apple,0.89,/Kg,1,50%,"Buy 1Kg Apples, Get 50% off 1L of Natural Yogurt",Power Up Naturally,yogurt,"Apple and yogurt parfait with layers visible, gym bag or yoga mat in background, post-workout snack theme, energizing presentation, fitness lifestyle advertising photography",
apple,0.89,/Kg,1,50%,"Buy 1Kg Apples, Get 50% off 1L of Vanilla Custard","Warm Hearts, Sweet Memories",custard,"Creamy vanilla custard beside warm baked apple slices, elegant dessert presentation, golden lighting, 'classic comfort dessert' theme, indulgent food styling photography",
orange,1.99,/Kg,1,25%,"Buy 1Kg Oranges, Get 25% off Dark Chocolate",Citrus Brightness Meets Rich Chocolate,chocolate,"Chocolate-dipped orange segments on marble surface, decadent dessert styling, warm ambient lighting, 'create gourmet treats at home' messaging, indulgent food photography",
orange,1.99,/Kg,1,25%,"Buy 1Kg Oranges, Get 25% off Other Fruits",Blend Your Way to Better,fruit,"Oranges as part of colorful fruit rainbow - red strawberries, yellow bananas, green apples, purple grapes, 'eat the rainbow' health messaging, vibrant produce photography",
orange,1.99,/Kg,1,25%,"Buy 1Kg Oranges, Get 25% off Bananas",Make Every Day Colorful,banana,"Bright, inviting breakfast scene with fresh bananas and oranges arranged on a table, morning sunlight streaming in, soft warm tones, shallow depth of field, cozy kitchen setting, healthy and delicious atmosphere",
bread,0.4,/g,1,50%,Buy 1 get 1 Free on Avocado's,Healthy Never Looked So Good,Avocado,"Avocado toast with poached egg on top, coffee cup nearby, trendy brunch table setting, 'caf  quality at home' theme, lifestyle food photography",
bread,0.4,/g,1,50%,Buy a French Stick to get 50% off Tomato Soup,Warm Up Together,Tomato Soup,"Tomato soup with artisan bread and cheese nearby, 'elevate your grilled cheese' theme, gourmet comfort food styling, premium ingredients photography",
bread,0.4,/g,1,50%,"Buy 1 Sourdough Loaf, Get 50% Eggs",Family Weekend Tradition,Eggs,"Golden French toast stack made from thick bread slices, family breakfast table, syrup and butter nearby, 'family weekend tradition' theme, warm lifestyle photography",
broccoli,1.99,/Kg,1,15%,Veggie Bundle - 15% off Carrots,Eat Your Greens!,carrot,"A high-end gourmet food photograph featuring tender broccoli florets and vibrant roasted sliced carrots arranged elegantly on a ceramic plate. The vegetables are lightly glazed with olive oil and herbs, carmelized at the edges, and sprinkled with sea salt and cracked pepper. Warm, soft lighting highlights their natural colors and textures, with shallow depth of field and a dark, upscale restaurant background. Ultra-realistic, macro detail, cinematic food photography.",
broccoli,1.99,/Kg,1,20%,Don't Forget the Dip - 20% off Ranch Dressing,Delicious Together,Ranch dressing,"Ultra-realistic close-up of fresh broccoli dipped into creamy ranch dressing, glossy and thick, with soft warm lighting, shallow depth of field, and appetizing textures that highlight freshness and richness",
carrot,0.89,/Kg,1,15%,Garden Fresh Deal - 15% off Broccoli,Crunchy & Nutritious,broccoli,"Ultra-realistic food photo of tender cooked broccoli next to baby carrots steaming on a ceramic plate, lightly glazed with butter and herbs, warm lighting, shallow depth of field, vibrant colors, cozy kitchen background, irresistibly delicious.",
carrot,0.89,/Kg,1,20%,Prep Kit Discount - 20% off Knife Set,Chop Chop Savings!,knife,"Close-up food photograph of vibrant carrots being chopped by a sharp chef's knife on a wooden board, crisp motion slices visible, with an elegant knife set softly blurred in the background, warm lighting, appetizing and professional.",
sandwich,5.99,/each,8.0 oz,10%,Meal Deal - 10% off Any Bottle,Lunch Made Easy,bottle,"Appealing food photo of a fresh peanut butter and jelly sandwich on a plate beside a chilled drink bottle, soft natural lighting, vibrant colors, shallow depth of field, cozy kitchen background, inviting and delicious.",
sandwich,1.95,/each,3 oz,15%,Complete Your Meal - 15% off Bag of Chips,Made For Each Other,chips,"Appealing food photograph of a fresh turkey sandwich stacked with sliced turkey and crisp lettuce beside a bag of potato chips, warm natural lighting, vibrant colors, shallow depth of field, casual lunchtime setting, mouth-watering.",
hot_dog,4.99,/pack,16.0 oz,10%,Hot Dog Combo - 10% off Soda,All-American Favorite,bottle,"Ultra-realistic food photo of an ice-cold soda bottle, condensation visible, delicious hot dog and chips blurred in the background, warm lighting, shallow depth of field, casual summer setting, mouth-watering.",
hot_dog,4.99,/pack,16.0 oz,20%,Game Day Special - 20% off Pizza,Party Time Savings!,pizza,"Delicious food photo of a cheesy pepperoni pizza on a countertop, with soft warm lighting and a blurred TV watching party scene in the background, creating a cozy, fun, game-night atmosphere.",
pizza,8.99,/each,24.0 oz,10%,Pizza Night Deal - 10% off Drinks,Every Slice Is Nice,bottle,"Appetizing food photograph of an ice-cold soda with condensation beside a hot, cheesy pizza on a table, warm lighting, vibrant colors, shallow depth of field, and a casual party-ready atmosphere.",
pizza,8.99,/each,24.0 oz,25%,Double the Fun - 25% off Hot Dogs,Feast Mode Activated!,hot-dog,"Appetizing food photograph of a hot dog, with a cheesy slice pizza and additional snacks softly blurred in the background, warm inviting lighting, vibrant colors, shallow depth of field, and a fun party vibe",
pizza,8.99,/each,24.0 oz,15%,Dining Essentials - 15% off Pizza Cutter,Slice It Right,pizza cutter,"Close-up food photo of a wheel pizza cutter,  delicious cheese pizza in the background, warm lighting, shallow depth of field, and an irresistibly fresh, appetizing look.",
bottle,5," ",1,50.00%,Buy a bottle and get 50% off fruit,Squash those weekend blues,fruit,"Bottles of colorful liquid fruit cordial, bright colors, photo realistic, good lighting, glasses with ice and straws",
bottle,5," ",1,50.00%,Buy a bottle and get a free box of iced tea,Stay Hydrated,Iced tea,"Iced tea in cups and teabags around the photo, with ice cubes and attractive lighting",
bottle,5," ",1,20.00%,"Buy a reusable bottle, get 20% off sparkling water",Cool down,Sparking Water,Bottles of sparkling water with some decorative drinking glasses,
